Habit,Date,Value,Unit,Memo,Tag,Habit Type
Vitamins and drugs ,8/21/24,1,count,,,Build
Vitamins and drugs ,8/22/24,1,count,,,Build
Vitamins and drugs ,8/23/24,1,count,,,Build
Vitamins and drugs ,8/24/24,1,count,,,Build
Vitamins and drugs ,8/25/24,1,count,,,Build
Vitamins and drugs ,8/26/24,1,count,,,Build
Vitamins and drugs ,8/27/24,1,count,,,Build
Vitamins and drugs ,8/28/24,1,count,,,Build
Vitamins and drugs ,8/29/24,1,count,,,Build
Vitamins and drugs ,8/30/24,1,count,,,Build
Vitamins and drugs ,8/31/24,1,count,,,Build
Vitamins and drugs ,9/1/24,1,count,,,Build
Vitamins and drugs ,9/2/24,1,count,,,Build
Vitamins and drugs ,9/3/24,1,count,,,Build
Vitamins and drugs ,9/4/24,1,count,,,Build
Vitamins and drugs ,9/5/24,1,count,,,Build
Vitamins and drugs ,9/6/24,1,count,,,Build
Vitamins and drugs ,9/7/24,1,count,,,Build
Vitamins and drugs ,9/8/24,0,count,,,Build
Vitamins and drugs ,9/9/24,1,count,,,Build
Vitamins and drugs ,9/10/24,1,count,,,Build
Vitamins and drugs ,9/11/24,1,count,,,Build
Vitamins and drugs ,9/12/24,1,count,,,Build
Vitamins and drugs ,9/13/24,1,count,,,Build
Vitamins and drugs ,9/15/24,1,count,,,Build
Vitamins and drugs ,9/16/24,1,count,,,Build
Vitamins and drugs ,9/17/24,1,count,,,Build
Vitamins and drugs ,9/18/24,1,count,,,Build
Vitamins and drugs ,9/19/24,1,count,,,Build
Vitamins and drugs ,9/20/24,1,count,,,Build
Vitamins and drugs ,9/21/24,1,count,,,Build
Vitamins and drugs ,9/22/24,1,count,,,Build
Vitamins and drugs ,9/23/24,1,count,,,Build
Low carb and minimal No Sugar,8/20/24,1,count,,,Build
Low carb and minimal No Sugar,8/21/24,1,count,,,Build
Low carb and minimal No Sugar,8/22/24,1,count,,,Build
Low carb and minimal No Sugar,8/23/24,1,count,,,Build
Low carb and minimal No Sugar,8/25/24,1,count,,,Build
Low carb and minimal No Sugar,8/26/24,1,count,,,Build
Low carb and minimal No Sugar,8/28/24,1,count,,,Build
Low carb and minimal No Sugar,8/29/24,1,count,,,Build
Low carb and minimal No Sugar,8/31/24,1,count,,,Build
Low carb and minimal No Sugar,9/1/24,1,count,,,Build
Low carb and minimal No Sugar,9/2/24,1,count,,,Build
Low carb and minimal No Sugar,9/3/24,1,count,,,Build
Low carb and minimal No Sugar,9/4/24,1,count,,,Build
Low carb and minimal No Sugar,9/5/24,1,count,,,Build
Low carb and minimal No Sugar,9/6/24,1,count,,,Build
Low carb and minimal No Sugar,9/7/24,1,count,,,Build
Low carb and minimal No Sugar,9/8/24,1,count,,,Build
Low carb and minimal No Sugar,9/9/24,1,count,,,Build
Low carb and minimal No Sugar,9/10/24,1,count,,,Build
Low carb and minimal No Sugar,9/11/24,1,count,,,Build
Low carb and minimal No Sugar,9/12/24,1,count,,,Build
Low carb and minimal No Sugar,9/13/24,1,count,,,Build
Low carb and minimal No Sugar,9/14/24,1,count,,,Build
Low carb and minimal No Sugar,9/15/24,1,count,,,Build
Low carb and minimal No Sugar,9/16/24,1,count,,,Build
Low carb and minimal No Sugar,9/17/24,1,count,,,Build
Low carb and minimal No Sugar,9/18/24,1,count,,,Build
Low carb and minimal No Sugar,9/19/24,1,count,,,Build
Low carb and minimal No Sugar,9/20/24,1,count,,,Build
Low carb and minimal No Sugar,9/21/24,0,count,,,Build
Low carb and minimal No Sugar,9/22/24,1,count,,,Build
Low carb and minimal No Sugar,9/23/24,1,count,,,Build
Floss and brush teeth,8/7/24,1,count,,,Build
Floss and brush teeth,8/8/24,1,count,,,Build
Floss and brush teeth,8/10/24,1,count,,,Build
Floss and brush teeth,8/11/24,1,count,,,Build
Floss and brush teeth,8/12/24,1,count,,,Build
Floss and brush teeth,8/14/24,1,count,,,Build
Floss and brush teeth,8/15/24,1,count,,,Build
Floss and brush teeth,8/16/24,1,count,,,Build
Floss and brush teeth,8/17/24,1,count,,,Build
Floss and brush teeth,8/18/24,1,count,,,Build
Floss and brush teeth,8/19/24,1,count,,,Build
Floss and brush teeth,8/20/24,1,count,,,Build
Floss and brush teeth,8/21/24,1,count,,,Build
Floss and brush teeth,8/22/24,1,count,,,Build
Floss and brush teeth,8/23/24,1,count,,,Build
Floss and brush teeth,8/24/24,1,count,,,Build
Floss and brush teeth,8/25/24,1,count,,,Build
Floss and brush teeth,8/26/24,1,count,,,Build
Floss and brush teeth,8/27/24,1,count,,,Build
Floss and brush teeth,8/28/24,1,count,,,Build
Floss and brush teeth,8/29/24,1,count,,,Build
Floss and brush teeth,8/30/24,1,count,,,Build
Floss and brush teeth,8/31/24,1,count,,,Build
Floss and brush teeth,9/1/24,1,count,,,Build
Floss and brush teeth,9/3/24,1,count,,,Build
Floss and brush teeth,9/4/24,1,count,,,Build
Floss and brush teeth,9/5/24,1,count,,,Build
Floss and brush teeth,9/6/24,1,count,,,Build
Floss and brush teeth,9/7/24,1,count,,,Build
Floss and brush teeth,9/8/24,1,count,,,Build
Floss and brush teeth,9/9/24,1,count,,,Build
Floss and brush teeth,9/10/24,1,count,,,Build
Floss and brush teeth,9/11/24,1,count,,,Build
Floss and brush teeth,9/12/24,1,count,,,Build
Floss and brush teeth,9/13/24,1,count,,,Build
Floss and brush teeth,9/14/24,1,count,,,Build
Floss and brush teeth,9/15/24,1,count,,,Build
Floss and brush teeth,9/16/24,1,count,,,Build
Floss and brush teeth,9/17/24,1,count,,,Build
Floss and brush teeth,9/18/24,1,count,,,Build
Floss and brush teeth,9/19/24,1,count,,,Build
Floss and brush teeth,9/20/24,1,count,,,Build
Floss and brush teeth,9/21/24,1,count,,,Build
Floss and brush teeth,9/23/24,1,count,,,Build
Take Blood Pressure ,8/5/24,0,count,,,Build
Take Blood Pressure ,8/6/24,1,count,,,Build
Take Blood Pressure ,8/7/24,1,count,,,Build
Take Blood Pressure ,8/8/24,1,count,,,Build
Take Blood Pressure ,8/11/24,1,count,,,Build
Take Blood Pressure ,8/12/24,1,count,,,Build
Take Blood Pressure ,8/13/24,1,count,,,Build
Take Blood Pressure ,8/14/24,1,count,,,Build
Take Blood Pressure ,8/15/24,1,count,,,Build
Take Blood Pressure ,8/16/24,1,count,,,Build
Take Blood Pressure ,8/17/24,1,count,,,Build
Take Blood Pressure ,8/18/24,1,count,,,Build
Take Blood Pressure ,8/19/24,1,count,,,Build
Take Blood Pressure ,8/20/24,1,count,😀 135/75,,Build
Take Blood Pressure ,8/21/24,1,count,😀 139/80,,Build
Take Blood Pressure ,8/22/24,1,count,😀 150/89,,Build
Take Blood Pressure ,8/23/24,1,count,😀 130/80,,Build
Take Blood Pressure ,8/24/24,1,count,😀 130/70,,Build
Take Blood Pressure ,8/25/24,1,count,😀 150/80,,Build
Take Blood Pressure ,8/26/24,1,count,😀 150/90,,Build
Take Blood Pressure ,8/27/24,1,count,😀 125/70,,Build
Take Blood Pressure ,8/28/24,1,count,😀 155/95,,Build
Take Blood Pressure ,8/29/24,1,count,😀 145/85,,Build
Take Blood Pressure ,8/30/24,1,count,😀 140/80,,Build
Take Blood Pressure ,8/31/24,1,count,😀 142/84,,Build
Take Blood Pressure ,9/1/24,1,count,😀 148/88,,Build
Take Blood Pressure ,9/3/24,1,count,😀 128/73,,Build
Take Blood Pressure ,9/4/24,1,count,😀 120/70,,Build
Take Blood Pressure ,9/5/24,1,count,😀 130/75,,Build
Take Blood Pressure ,9/6/24,1,count,😀 130/75,,Build
Take Blood Pressure ,9/7/24,1,count,😀 125/75,,Build
Take Blood Pressure ,9/8/24,1,count,😀 140/80,,Build
Take Blood Pressure ,9/10/24,1,count,😀 135/80,,Build
Take Blood Pressure ,9/11/24,1,count,😀 120/70,,Build
Take Blood Pressure ,9/12/24,1,count,😀 140/80,,Build
Take Blood Pressure ,9/13/24,1,count,😀  150/80,,Build
Take Blood Pressure ,9/14/24,1,count,😀 130/80,,Build
Take Blood Pressure ,9/15/24,1,count,😀 130/66,,Build
Take Blood Pressure ,9/16/24,1,count,😀 145/75,,Build
Take Blood Pressure ,9/17/24,1,count,😀 116/70,,Build
Take Blood Pressure ,9/18/24,1,count,😀 135/75,,Build
Take Blood Pressure ,9/19/24,1,count,😀 150/80,,Build
Take Blood Pressure ,9/20/24,1,count,😀 118/70,,Build
Take Blood Pressure ,9/21/24,1,count,😀 140/75,,Build
Take Blood Pressure ,9/22/24,1,count,😀 130/70,,Build
Take Blood Pressure ,9/23/24,1,count,😀 144/85,,Build
